obs_id,true_value,meas_value,corr_value,diff(%)
20,  4.11445   7.87344 -0.788974 -0.780877,  4.34254   7.86082  -0.79177 -0.785233,  4.31043   7.87475 -0.796656 -0.751121,  4.76312 0.0166972  0.973756  -3.81055
21,  2.94556   3.93214 -0.659473 -0.991615,  2.82644   4.18646 -0.655081 -0.952349,  2.78812   4.18543 -0.670032  -0.95355,-5.34487  6.44147  1.60111 -3.83872
5,  13.4441   5.83161 -0.795208  -1.16552,  13.4657   5.96296 -0.818425  -1.19422,  13.3874   6.02958 -0.816672  -1.18976,-0.421823    3.3947   2.69919      2.08
6,  3.95999   1.10648  0.946999 -0.951825,  3.4961  1.32173 0.991157 -1.04583, 3.54866  1.16114 0.983011  -1.0179,-10.3871  4.94048  3.80274  6.94174
7, 5.26324  18.5754 -1.09047 -1.13779, 4.96813  18.7308 -1.10119 -1.16576, 5.01784  18.6598 -1.10384 -1.14154, -4.6624 0.454437  1.22631 0.329478
8, 8.92277  11.8962 0.705534 0.888365, 8.93612  11.5066 0.697658 0.866923, 8.95753  11.5972 0.686314 0.868812,0.389549 -2.51316 -2.72419 -2.20104
11, 18.0342  5.42569 0.767652 -1.02234, 17.9599  5.41629 0.722807 -1.04486, 17.9516  5.38278 0.735871 -1.05232,-0.458111 -0.790816   -4.1401    2.9321
14,  3.07902   7.80128  0.812975 -0.866144,  2.84911   7.78862  0.811513 -0.917564,  2.93332   7.90591  0.818347 -0.904061,-4.73202  1.34107 0.660811  4.37765
15,  5.56106   17.8966 -0.624999 -0.719579,  5.38404   17.9846 -0.634012 -0.710686,  5.46943   18.0176 -0.655226 -0.707908,-1.64757 0.675884  4.83645 -1.62187
17, 5.84084  17.5274 -1.14015 -1.15199, 5.78321  17.4667 -1.12769 -1.14697, 5.83012  17.3925 -1.12577 -1.14982,-0.183597 -0.769634  -1.26178 -0.188821
19, 7.90329  13.3998  1.18179 -0.64807,  7.79192   13.4099   1.20924 -0.536324,  7.78324    13.429   1.21263 -0.585859,-1.51898  0.21831  2.60996 -9.59947
20,  4.08815   7.84741 -0.788974 -0.780877,  4.08973    8.2082 -0.763739 -0.773823,   4.1335   8.12745 -0.776337 -0.765105, 1.10928  3.56854 -1.60164 -2.01973
21,  2.92357   3.89909 -0.659473 -0.991615,  2.85904    3.8317 -0.668713  -1.00479,  2.83805   3.90409 -0.669204 -0.985257, -2.92542  0.128232   1.47566 -0.641209
5,  13.4176   5.79276 -0.795208  -1.16552,  13.2034   5.87384 -0.892728  -1.14901,  13.2385   5.90006 -0.863698  -1.16459,  -1.33442    1.85223    8.61279 -0.0797579
6,  3.99156   1.07475  0.946999 -0.951825,  4.16536  0.889833  0.908475 -0.955953,  4.03375  0.943399  0.937021 -0.979645,  1.0569 -12.2217 -1.05363  2.92281
7, 5.22689  18.5375 -1.09047 -1.13779, 5.13947  18.6331 -1.13723 -1.12721, 5.10374  18.6306 -1.12446 -1.13269, -2.35605  0.502203   3.11675 -0.448897
8, 8.94629  11.9258 0.705534 0.888365, 9.09237  11.8114 0.700972 0.907445, 9.06719  11.7698 0.695387 0.892712, 1.35138 -1.30847 -1.43816 0.489329
11, 18.0598  5.39161 0.767652 -1.02234,  18.2453   5.28502  0.753156 -0.983539, 18.1848  5.29927 0.746588 -1.00982,0.691721 -1.71277 -2.74395 -1.22498
14,  3.10612   7.77241  0.812975 -0.866144,  2.97324   7.92201  0.794266 -0.926364,  2.97034   7.91155  0.803466 -0.917839,-4.37124  1.79018 -1.16966  5.96844
15,  5.54022   17.8726 -0.624999 -0.719579,  5.22355   18.3316  -0.61214 -0.720871,  5.27408   18.2556 -0.628626 -0.715876, -4.80386   2.14276  0.580436 -0.514639
17, 5.80284   17.489 -1.14015 -1.15199, 5.90522  17.4772 -1.13116 -1.10709, 5.87985  17.4496 -1.12908 -1.12339,  1.32713 -0.225459 -0.970892  -2.48266
19, 7.94268  13.3782  1.18179 -0.64807,  8.39079   13.0759    1.2287 -0.595054,  8.26313    13.151   1.22263 -0.591585, 4.03458  -1.6979  3.45646 -8.71596
20,  4.06185   7.82138 -0.788974 -0.780877,  3.62794   7.33335 -0.824326 -0.727555,  3.73585   7.50647 -0.806058 -0.741997,-8.02599 -4.02626  2.16537 -4.97897
21,  2.90159   3.86603 -0.659473 -0.991615,  2.90514   4.09094 -0.704048 -0.993348,  2.88494   4.04146 -0.690728 -0.990229, -0.57374   4.53777   4.73936 -0.139801
5,  13.3911   5.75391 -0.795208  -1.16552,  13.3621    6.0119 -0.807117   -1.1175,  13.3279   5.97807 -0.828709  -1.13546,-0.471686   3.89585   4.21289  -2.57873
6,  4.02313   1.04302  0.946999 -0.951825,  3.66149   1.06367  0.961759 -0.918377, 3.75238  1.02936 0.952257 -0.94176,-6.72978 -1.30992 0.555318 -1.05746
7, 5.19054  18.4995 -1.09047 -1.13779, 5.34593   18.386 -1.07266 -1.12444, 5.28307  18.4326 -1.09241 -1.12762,  1.78261 -0.361941  0.177917 -0.894191
8, 8.96981  11.9554 0.705534 0.888365, 9.31432  12.6876 0.686292 0.842307, 9.26388  12.4876 0.689795 0.861675, 3.27847  4.45074 -2.23082 -3.00445
11, 18.0854  5.35753 0.767652 -1.02234, 18.1239  5.52973 0.754476 -1.06369, 18.1432  5.47016 0.751452 -1.04308,0.319427  2.10223 -2.11039  2.02819
14,  3.13322   7.74354  0.812975 -0.866144,  3.27538   7.83573  0.782322 -0.867649,  3.21269   7.84601  0.790434 -0.886826,2.53637 1.32328 -2.7726 2.38783
15,  5.51939   17.8486 -0.624999 -0.719579,  5.17867   17.7952 -0.706736 -0.815973,  5.19528   17.8933  -0.67691 -0.777795,-5.87217  0.25024  8.30586  8.09032
17, 5.76483  17.4506 -1.14015 -1.15199, 5.74073  17.1684  -1.1309 -1.19325, 5.76358  17.2231 -1.13022  -1.1666,-0.0218284   -1.30385  -0.871533    1.26782
19, 7.98207  13.3566  1.18179 -0.64807,  7.91914   13.6675   1.22471 -0.620696,  8.00577   13.5467   1.22387 -0.609508,0.296888  1.42366  3.56084 -5.95043
20,  4.03555   7.79535 -0.788974 -0.780877,  3.73372   7.92583 -0.842259 -0.833421,  3.72808   7.82566 -0.828428 -0.798442,-7.61922 0.388842  5.00076  2.24952
