obs_id,true_value,meas_value,corr_value,diff(%)
2,  11.2936   34.1308 -0.814928  0.728628,  11.124  33.8651 -0.81538 0.708591, 11.1039  33.8838 -0.81025 0.715295, -1.67962 -0.723702 -0.574069  -1.82991
3, 27.1406  30.1891 0.800367 0.913709, 27.1286  29.9735 0.818389 0.950258, 27.1293  29.9501 0.821973  0.92685,-0.0418145  -0.791495    2.69961    1.43814
4, 31.4829  6.19465  1.19331 -0.90761,  31.6023   6.07431   1.16637 -0.899659,  31.6174   6.09298   1.16183 -0.898689, 0.427309  -1.64131  -2.63827 -0.982842
8, 17.7419  23.0007 0.705534 0.888365, 17.6826  23.1805 0.684351 0.891019, 17.6686    23.15 0.702383   0.9027,  -0.4131  0.649258 -0.446696   1.61358
10, 11.8628  33.0834 -1.01197  0.92036, 11.4533  33.0773 -1.05609 0.927644, 11.4615  33.0548 -1.03519  0.92542,  -3.38242 -0.0862717    2.29467   0.549787
13, 19.3339  34.2192 0.997106  1.19529, 19.451 33.7035  1.0098 1.15886,19.4257 33.7924  1.0255 1.14944,0.475203 -1.24736  2.84773 -3.83594
16, 21.7273  32.2965 0.992117 0.773403,  21.672  32.1121  0.99327 0.810664, 21.6784   32.161 0.992118 0.808762,  -0.225144    -0.41958 6.00782e-05     4.57192
18,  27.1017   11.3936   0.96444 -0.630509, 26.8863  11.1392 0.969987 -0.71465, 26.9616  11.1605 0.953904  -0.6873,-0.516957  -2.04664  -1.09241   9.00712
19, 22.6755  5.29883  1.18179 -0.64807,  22.8507   5.46498   1.14611 -0.678707,  22.8446   5.43168    1.1312 -0.673015,   0.746  2.50711 -4.28055  3.84907
1,  19.7361   10.8681   0.81513 -0.615168,  19.6148   10.7454  0.840447 -0.593183,  19.6351   10.8119  0.843637 -0.602591,-0.511983 -0.517007   3.49719  -2.04448
2,  11.2665   34.1551 -0.814928  0.728628,  11.4544   34.3795 -0.816709  0.752288,11.3871 34.2956 -0.8142 0.73821,  1.07107  0.411188 -0.089349   1.31512
3, 27.1673  30.2195 0.800367 0.913709, 27.1717  30.2571 0.785022 0.943777,  27.169  30.2079 0.799138 0.937342,0.00620634 -0.0383559  -0.153486    2.58644
4, 31.5227   6.1644  1.19331 -0.90761,  31.4714   5.99975   1.22342 -0.911604,  31.5044   6.01099   1.19987 -0.906678,-0.0579659   -2.48854   0.549787  -0.102652
8, 17.7654  23.0303 0.705534 0.888365, 18.3434  23.1272 0.760145 0.873485, 18.2275  23.1366 0.738154 0.884638,  2.60104   0.46141   4.62346 -0.419564
10,  11.829   33.114 -1.01197  0.92036,  11.5246   33.4903 -0.965529  0.940142,  11.5073   33.4183 -0.992127  0.934564,-2.71962 0.918803 -1.96086  1.54331
13, 19.3671  34.2591 0.997106  1.19529,  19.514  34.7604 0.945091  1.14839, 19.5042  34.5948 0.975811  1.14889,  0.7081 0.979945 -2.13573 -3.88147
16, 21.7604  32.3223 0.992117 0.773403, 22.0391  32.0794  1.01431 0.820972, 21.9808  32.0987  1.00587 0.816296,  1.01293 -0.691566   1.38646   5.54605
18,  27.1339   11.3726   0.96444 -0.630509,  27.1479   11.4263  0.886794 -0.584441,  27.1203   11.3751  0.912445 -0.623697,-0.0500774  0.0215345   -5.39119   -1.08033
19, 22.7149  5.27723  1.18179 -0.64807, 22.8921  5.20426  1.22085 -0.70986,  22.8905    5.2407   1.18661 -0.695809, 0.773146 -0.692111  0.408189   7.36629
1,  19.7633   10.8475   0.81513 -0.615168,  19.7477   11.6092  0.890824 -0.683097,  19.7327   11.4634  0.872809 -0.652256,-0.154773   5.67777   7.07611   6.02888
2,  11.2393   34.1794 -0.814928  0.728628,  10.8662   34.2586 -0.867028  0.751611,   10.954   34.2696 -0.846904  0.746485,-2.53808  0.26392   3.9238  2.45084
3,  27.194    30.25 0.800367 0.913709, 26.9768  30.1029 0.731527 0.890075, 27.0157  30.1271 0.757328 0.908114,-0.655733 -0.406275  -5.37736 -0.612362
4, 31.5624  6.13414  1.19331 -0.90761,  31.3148   6.46088   1.21349 -0.930607,  31.3557   6.37533   1.20827 -0.921414,-0.655036   3.93182   1.25305   1.52091
8, 17.7889  23.0599 0.705534 0.888365, 17.6523  22.7243 0.728002 0.893749, 17.7591   22.803 0.731813  0.89022,-0.167726  -1.11425   3.72472  0.208732
10, 11.7953  33.1447 -1.01197  0.92036, 11.9329  33.2366 -1.07726   0.8394, 11.8511  33.2744 -1.04469 0.875726,0.472823 0.391244  3.23363 -4.84962
13, 19.4003  34.2989 0.997106  1.19529,19.1097 34.0329 1.12144 1.15615, 19.186 34.1398 1.06577 1.15331,-1.10487 -0.46384  6.88586 -3.51185
16, 21.7935   32.348 0.992117 0.773403, 22.1537    32.25  1.02993 0.757431,22.1289 32.2278 1.02076 0.77993,  1.53919 -0.371564   2.88669   0.84388
18,   27.166   11.3516   0.96444 -0.630509,  26.9344   11.4748   1.03284 -0.562491,  26.9732   11.4534   0.98683 -0.585856,-0.709958  0.897099   2.32157  -7.08197
19, 22.7543  5.25563  1.18179 -0.64807,   22.897   5.09063   1.19954 -0.634833,  22.9029   5.11333    1.1946 -0.658138,0.653289 -2.70754  1.08383  1.55346
1,  19.7905    10.827   0.81513 -0.615168,  19.7529   10.7084  0.865297 -0.596804,  19.7544   10.8391  0.868166 -0.618066,-0.182056  0.111292   6.50639  0.471175
2,  11.2121   34.2037 -0.814928  0.728628,  11.2286   34.4818 -0.837532  0.734145,  11.1747   34.4484 -0.841078   0.73888,-0.334182  0.715468   3.20893   1.40699
3, 27.2207  30.2804 0.800367 0.913709,  27.384  30.4507 0.710583 0.906017, 27.3228  30.3984 0.728477 0.906851, 0.375413  0.389735  -8.98215 -0.750638
4, 31.6022  6.10389  1.19331 -0.90761,  31.6867   5.94632   1.21107 -0.848536,  31.6349   6.01739   1.21003 -0.876418,0.103442 -1.41719  1.40105 -3.43675
8, 17.8124  23.0895 0.705534 0.888365,  17.977  22.7136 0.723639  0.87622, 17.9425  22.7348 0.726783 0.881554, 0.730412  -1.53641   3.01172 -0.766705
10, 11.7616  33.1754 -1.01197  0.92036,  11.4839   33.0884 -0.963717  0.920583,  11.5432   33.1268 -0.994684  0.903425, -1.85647 -0.146377  -1.70816  -1.84001
13, 19.4336  34.3387 0.997106  1.19529,19.5274  34.561 1.04028 1.12267,19.4729 34.4928 1.05005 1.13441, 0.20237 0.448627  5.30957 -5.09282
16, 21.8265  32.3738 0.992117 0.773403, 21.8574   32.471 0.960326  0.74268, 21.9117  32.4322 0.983374 0.756932,0.390348 0.180496 -0.88121 -2.12966
18,  27.1982   11.3306   0.96444 -0.630509,  27.1078   11.4375  0.964885 -0.560545,  27.0896   11.4369  0.973279 -0.570213,-0.399062  0.938567  0.916498  -9.56309
19, 22.7936  5.23402  1.18179 -0.64807,  23.0198   4.85604   1.17302 -0.661831,  23.0061   4.89795   1.18127 -0.660447,  0.931949   -6.42089 -0.0439096     1.9097
1,  19.8176   10.8065   0.81513 -0.615168,  20.0657   10.2411  0.760896 -0.649246, 20.0152  10.3439 0.801901  -0.6374,0.997079 -4.28104 -1.62296  3.61407
2,   11.185    34.228 -0.814928  0.728628,  11.2098   34.7461 -0.789519  0.742465,  11.1986   34.6974 -0.809206  0.741126, 0.121919   1.37154 -0.702168   1.71531
3, 27.2473  30.3109 0.800367 0.913709, 27.2695  30.3014 0.843858 0.867192, 27.2835   30.324 0.799777 0.882326, 0.132876 0.0434128 -0.073645  -3.43472
4,  31.642  6.07364  1.19331 -0.90761,  31.4967   5.91724   1.23028 -0.867555,  31.5285   5.92989   1.22253 -0.870948,-0.358498  -2.36674    2.4481  -4.03935
8, 17.8359  23.1191 0.705534 0.888365, 17.6157  23.0463 0.665824 0.920921, 17.6781  22.9961 0.689069 0.905916,-0.885012 -0.532048  -2.33369   1.97558
10, 11.7278  33.2061 -1.01197  0.92036,  11.4928   33.3235 -0.999461  0.897036,  11.4959   33.2938 -0.997638  0.899495,-1.97773 0.264292 -1.41628 -2.26705
13, 19.4668  34.3786 0.997106  1.19529, 19.7381   34.171 0.960081  1.10446, 19.6969   34.235 0.994471  1.11586,  1.18216 -0.417703 -0.264301   -6.6449
16, 21.8596  32.3996 0.992117 0.773403, 21.9646  32.1296  1.09165 0.763235, 21.9612   32.188  1.05029 0.760791, 0.464892 -0.653016   5.86367  -1.63069
18,  27.2303   11.3096   0.96444 -0.630509,  27.5316   11.4327  0.952744 -0.639242,  27.4586     11.43  0.960633 -0.612873, 0.838348    1.0645 -0.394676  -2.79705
19,  22.833  5.21242  1.18179 -0.64807, 22.8218  5.23241  1.14106 -0.69871,  22.8615   5.16886    1.1564 -0.684055, 0.124801 -0.835788  -2.14855   5.55258
1,  19.8448    10.786   0.81513 -0.615168,  20.1497    10.864  0.812144 -0.637477,  20.1305   10.7676  0.808244 -0.637388,  1.43965 -0.171114 -0.844832     3.612
2,  11.1578   34.2523 -0.814928  0.728628,  11.0549   33.9833 -0.828862  0.733844,  11.0756   34.1149 -0.821367  0.736543,-0.736593 -0.401112  0.790164   1.08632
3,  27.274  30.3413 0.800367 0.913709,  27.254  30.1699 0.781538 0.958769, 27.2639  30.2027 0.788498  0.92955,-0.0369105  -0.456907   -1.48284    1.73362
4, 31.6818  6.04338  1.19331 -0.90761,  31.5336    6.4009   1.18395 -0.954674,  31.5399   6.31169   1.19868 -0.922638,-0.447913   4.43977  0.449949   1.65575
8, 17.8595  23.1488 0.705534 0.888365, 17.7436  23.3992 0.661697 0.913797,  17.736  23.3328 0.672157 0.910828,-0.691557  0.795082  -4.73078   2.52853
10, 11.6941  33.2367 -1.01197  0.92036,  11.4918   33.1773 -0.980395  0.931456,  11.4866   33.2034 -0.986978  0.919232, -1.77421 -0.100266  -2.46969 -0.122621
13,    19.5  34.4184 0.997106  1.19529, 19.2161  34.6921 0.965369  1.20806, 19.3076  34.6174 0.976428  1.17289,-0.986782  0.578193  -2.07385  -1.87397
16, 21.8927  32.4254 0.992117 0.773403,21.8043 32.3486 1.02957 0.81891, 21.8385  32.3246  1.03746 0.796726,-0.247524 -0.310737   4.57073   3.01558
18,  27.2625   11.2886   0.96444 -0.630509,  27.7618   11.3642  0.904242 -0.657631, 27.7134  11.3722 0.925812 -0.64054,   1.654 0.741029 -4.00523  1.59092
19, 22.8724  5.19082  1.18179 -0.64807,  22.4876   5.03044   1.17376 -0.654279,  22.5611   5.05109   1.16708 -0.665666,-1.36121 -2.69196 -1.24434  2.71499
0, 37.6846  34.1247  1.00698 0.658711, 37.6671  34.1162  0.95793 0.637478,  37.132  33.6315 0.958161 0.637917,-1.46621 -1.44542 -4.84762  -3.1568
1,   19.872   10.7655   0.81513 -0.615168,  19.3673   10.4651  0.751796 -0.547952,   19.508   10.5153  0.773269 -0.582145,-1.83179 -2.32406 -5.13548 -5.36814
2,  11.1306   34.2766 -0.814928  0.728628,  11.1234   34.3216 -0.839904   0.79264,    11.11   34.2893 -0.832815  0.771233,-0.185429 0.0371269   2.19496   5.84736
3, 27.3007  30.3718 0.800367 0.913709, 27.5694   30.613 0.763241 0.960867, 27.5196  30.5455  0.77292 0.948947,0.802002 0.571926 -3.42932  3.85657
4, 31.7215  6.01313  1.19331 -0.90761,  31.7106   6.36421   1.19004 -0.877006,  31.6873   6.34946   1.19336 -0.894426, -0.107911    5.59325 0.00357634   -1.45257
8,  17.883  23.1784 0.705534 0.888365, 17.8211  23.0309 0.655396 0.892563, 17.8099    23.09 0.661805 0.899503,-0.408913 -0.381069  -6.19803   1.25371
10, 11.6604  33.2674 -1.01197  0.92036, 11.5425  33.3829 -1.04526 0.918876, 11.5266  33.3564 -1.02299 0.919028, -1.14751  0.267462   1.08855 -0.144711
13, 19.5333  34.4583 0.997106  1.19529, 19.6335  34.2446 0.996471  1.12943, 19.5813  34.3179 0.988848  1.14599, 0.245873 -0.407383 -0.828279  -4.12474
16, 21.9257  32.4511 0.992117 0.773403, 21.8275  32.2758  1.01284 0.775983, 21.8356  32.2892  1.02224 0.783898,-0.411164 -0.499173   3.03639   1.35694
18,  27.2946   11.2675   0.96444 -0.630509,  27.3254    11.086   1.01501 -0.728279,  27.4001    11.133   0.98089 -0.694795,0.386597 -1.19381  1.70567  10.1959
19, 22.9118  5.16922  1.18179 -0.64807,   23.038   5.06804   1.18407 -0.609546,    22.96   5.06116   1.17763 -0.630977,0.210216 -2.09037 -0.35162 -2.63756
0, 37.7182  34.1467  1.00698 0.658711, 37.5929  34.2006 0.976438 0.775567, 37.5245  34.1135 0.970396 0.729735,-0.513331 -0.097058  -3.63259   10.7822
1,  19.8991    10.745   0.81513 -0.615168,  20.0062   10.7714  0.875947 -0.611207,  19.9222   10.7223   0.83678 -0.600075, 0.116085 -0.211477   2.65599  -2.45338
2,  11.1035   34.3008 -0.814928  0.728628,  11.1037   34.1686 -0.750766  0.795609,     11.1   34.1947 -0.782104  0.786282,-0.0312037  -0.309506   -4.02785    7.91273
