obs_id,true_value,meas_value,corr_value,diff(%)
2,   12.516   33.0379 -0.814928  0.728628,  12.5152   32.8427 -0.855423  0.806712,   12.431   32.8249 -0.856612  0.773348,-0.679282 -0.644742   5.11511   6.13756
3, 25.9401  28.8185 0.800367 0.913709, 25.9929  28.8524 0.830338 0.936414, 25.9924  28.8362 0.809832 0.922703, 0.201403 0.0615122   1.18259  0.984279
4, 29.6929  7.55608  1.19331 -0.90761,  29.5819   7.13442   1.20549 -0.883508,    29.57   7.27481   1.21116 -0.882387,-0.413846  -3.72237   1.49591  -2.77903
8, 16.6836  21.6682 0.705534 0.888365, 16.7995  21.6133 0.754767 0.859407,16.6916 21.6481 0.74657 0.87584, 0.0483366 -0.0925498    5.81635   -1.40996
10, 13.3807  31.7029 -1.01197  0.92036, 12.9683  31.7549 -1.01979 0.956844, 13.0174  31.7597 -1.01898 0.961298,-2.71524 0.179208 0.692647  4.44802
12,  3.83896   9.05373  -1.15554 -0.976513,  4.02186   8.95603   -1.2003 -0.953718,  3.91193   9.03126  -1.17774 -0.979455,  1.90074 -0.248138   1.92124  0.301291
13, 17.8382  32.4262 0.997106  1.19529, 17.9681  32.2179 0.959821  1.22402, 17.9352  32.2498 0.978326   1.2351, 0.543779 -0.544108   -1.8835   3.33072
14,  12.0218  -1.72631  0.812975 -0.866144,  12.3898  -1.63375   0.70092 -0.873065,  12.2998  -1.66783  0.737757 -0.861311,  2.31201  -3.38735  -9.25218 -0.557982
15, -1.31394    9.9812 -0.624999 -0.719579, -1.55472   9.83681 -0.643337  -0.73281, -1.44395   9.78151 -0.636284 -0.723729, 9.89498  -2.0006  1.80571 0.576673
16, 20.2391  31.1364 0.992117 0.773403,  20.554  30.7559  1.00638 0.789205,  20.463  30.8443 0.999629  0.79312,  1.10655 -0.938164  0.757196   2.54934
18,  25.6551   12.3394   0.96444 -0.630509,  25.8771   12.6946  0.947423 -0.616279,  25.8058    12.633  0.937815 -0.618562,0.587407  2.37891 -2.76067 -1.89485
19, 20.9028  6.27093  1.18179 -0.64807,  20.9927   6.46199   1.13931 -0.656041,  21.0329   6.44238   1.15136 -0.659749,0.622497    2.734  -2.5743  1.80202
22, 21.8038  2.30452 0.692302 -1.19072, 21.8054   2.5885 0.733392 -1.19766, 21.7879  2.51529 0.719042 -1.19271,-0.0729213    9.14587    3.86237   0.167373
24,-1.09482   7.6031 -1.08467 -1.03876,-1.14697  7.92506 -1.07039 -1.05043, -1.1275  7.76215 -1.09153 -1.05145, 2.98485  2.09195 0.632373  1.22202
